结果时间,源节点名称,源测试地址,源信息: 分组名,目的节点名称,目的测试地址,目的信息: 分组名,解析时间,丢包,发包数,丢包数,时延,最大时延,最小时延,STD 时延,抖动,最大抖动,最小抖动,STD 抖动,结果 IP 地址,结果国家名称,结果省名称,结果归属地
2013-02-27 17:47:36.668010,QQ空间,123.65.232.142,NULL,QQ空间,www.qzone.qq.com,网页类,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,112.90.143.191,中国,广东, 联通
2013-02-27 17:47:37.606437,cctv,222.50.124.62,NULL,cctv,www.cctv.com,网页类,NULL,0.000,100,0,41.73,42.20,41.45,0.17,0.20,0.66,0.01,0.14,223.87.1.59,中国,四川, 移动
2013-02-27 17:47:38.453712,wingdns.com,222.50.124.102,NULL,wingdns.com,wingdns.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,122.227.23.130,中国,浙江, 电信
2013-02-27 17:47:42.421982,7k7k.com,222.50.124.26,NULL,7k7k.com,7k7k.com,广东铁通TOPn网站,NULL,1.000,100,1,40.51,40.98,40.27,0.11,0.11,0.53,0.00,0.11,115.182.59.33,中国,北京, 移动
2013-02-27 17:47:47.436140,100bt.com,222.50.124.2,NULL,100bt.com,100bt.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,113.105.158.142,中国,广东, 电信
2013-02-27 17:47:48.120258,adwo.com,222.50.124.50,NULL,adwo.com,adwo.com,广东铁通TOPn网站,NULL,100.000,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.255,NULL,NULL,NULL
2013-02-27 17:47:50.041121,9160.com,222.50.124.26,NULL,9160.com,9160.com,广东铁通TOPn网站,NULL,0.000,100,0,29.04,35.32,27.27,2.34,0.83,7.24,0.00,1.47,115.236.185.6,中国,浙江, 电信
2013-02-27 17:47:51.881810,工商银行,222.50.124.106,NULL,工商银行,www.icbc.com.cn,网页类,NULL,0.000,100,0,67.83,73.70,65.91,2.81,0.88,7.59,0.00,1.73,125.39.39.42,中国,天津, 联通
2013-02-27 17:47:52.135748,和讯网,222.50.124.86,NULL,和讯网,www.hexun.com,网页类,NULL,0.000,100,0,35.20,41.44,33.38,2.78,1.03,7.95,0.01,1.91,219.239.236.198,中国,北京, 电信
2013-02-27 17:47:52.186798,SERVICE.TOOLS.SDO.COM,222.50.124.90,NULL,SERVICE.TOOLS.SDO.COM,SERVICE.TOOLS.SDO.COM,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,122.226.73.176,中国,浙江, 电信
