结果时间,源测试地址,源信息: 分组名,目的测试地址,目的信息: 分组名,解析时间,连接时间,首字节时间,首屏打开时间,下载时间,页面加载时间,总时间,吞吐率,综合质量,解析成功率,连接成功率,首页加载成功率,加载比例,成功率,结果 IP 地址,结果国家名称,结果省名称,结果归属地,下载大小,内容大小,返回码,附加项,元素数量
2013-02-26 22:46:53.498369,222.50.124.70,NULL,xlpan.com,广东铁通TOPn网站,0.62,61.63,63.49,443.34,5089.33,7080.22,7340.33,82.40,64.2,100.00,100.00,100.00,100.00,100.00,111.161.24.244,中国,北京, 联通,419.4,414.8,301,18,18
2013-02-26 22:46:53.912523,222.50.124.110,NULL,ad-plus.cn,广东铁通TOPn网站,0.24,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,220.181.20.30,中国,北京, 电信,NULL,NULL,NULL,1,1
2013-02-26 22:46:56.282895,222.50.124.54,NULL,hexun.com,广东铁通TOPn网站,0.40,3027.64,27.91,3255.11,26431.38,59055.83,59055.83,29.96,23.1,100.00,98.96,100.00,82.61,0.00,59.173.14.2,中国,湖北, 电信,791.8,756.2,301,50,115
2013-02-26 22:46:58.409693,222.50.124.90,NULL,53kf.com,广东铁通TOPn网站,0.20,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,122.227.58.188,中国,浙江, 电信,NULL,NULL,NULL,1,1
2013-02-26 22:47:02.441700,222.50.124.26,NULL,pengyou.com,广东铁通TOPn网站,0.50,93.59,94.83,478.33,337.44,653.54,653.54,86.17,69.3,100.00,100.00,100.00,100.00,100.00,112.64.234.210,中国,上海, 联通,29.1,26.0,302,9,9
2013-02-26 22:47:06.104699,222.50.124.50,NULL,kuaibo.com,广东铁通TOPn网站,0.26,152.03,152.80,411.64,1818.51,2505.48,2612.93,58.94,53.6,100.00,100.00,100.00,100.00,100.00,175.6.0.102,中国,湖南, 电信,107.2,104.4,301,13,13
2013-02-26 22:47:10.135133,222.50.124.22,NULL,www.skycn.com,下载类,0.49,91.35,92.14,642.94,7535.64,9336.75,9911.21,49.36,51.6,100.00,100.00,100.00,100.00,100.00,125.39.78.230,中国,天津, 联通,372.0,363.5,200,28,28
2013-02-26 22:47:12.319273,222.50.124.82,NULL,www.tudou.com,网页类,0.52,119.84,120.52,723.01,1082.87,4049.52,4451.02,243.69,79.5,100.00,4.73,100.00,4.73,0.00,123.126.98.150,中国,北京, 联通,263.9,261.6,200,50,148
2013-02-26 22:47:16.636201,222.50.124.110,NULL,csbew.com,广东铁通TOPn网站,0.51,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,219.232.255.99,中国,北京, 其它运营商,NULL,0.2,403,1,1
2013-02-26 22:47:20.863493,222.50.124.90,NULL,kuaiwan.com,广东铁通TOPn网站,0.50,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,122.225.115.167,中国,浙江, 电信,NULL,NULL,NULL,1,1
