结果时间,源测试地址,源信息: 分组名,目的测试地址,目的信息: 分组名,解析时间,丢包,发包数,丢包数,时延,最大时延,最小时延,STD 时延,抖动,最大抖动,最小抖动,STD 抖动,结果 IP 地址,结果国家名称,结果省名称,结果归属地
2013-02-26 22:39:20.698875,222.50.124.10,NULL,www.kankan.com,网页类,NULL,0.000,100,0,3.43,10.53,2.65,1.79,0.89,7.35,0.00,1.71,61.235.96.93,中国,广东, 铁通
2013-02-26 22:39:30.244499,222.50.124.26,NULL,tudou.com,广东铁通TOPn网站,NULL,2.000,100,2,50.56,57.77,50.10,1.20,0.54,7.51,0.00,1.38,123.126.98.173,中国,北京, 联通
2013-02-26 22:39:34.388331,222.50.124.110,NULL,178.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,123.134.67.166,中国,山东, 联通
2013-02-26 22:39:51.872857,222.50.124.26,NULL,chinaiiss.com,广东铁通TOPn网站,NULL,2.000,100,2,17.11,17.73,16.92,0.13,0.12,0.71,0.00,0.12,121.10.117.198,中国,广东, 电信
2013-02-26 22:39:52.411476,222.50.124.50,NULL,kuaipan.cn,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,114.112.66.22,中国,江苏, 移动
2013-02-26 22:39:56.356739,222.50.124.2,NULL,imshell.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,121.12.172.101,中国,广东, 电信
2013-02-26 22:39:57.159203,222.50.124.90,NULL,mapbar.com,广东铁通TOPn网站,NULL,0.000,100,0,30.99,31.28,30.83,0.08,0.10,0.36,0.00,0.08,211.157.24.135,中国,北京, 联通
2013-02-26 22:39:57.463994,222.50.124.102,NULL,bet007.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61.143.225.118,中国,广东, 电信
2013-02-26 22:39:57.631887,222.50.124.114,NULL,www.020.com,网页类,NULL,60.000,100,60,3.81,5.25,3.65,0.28,0.20,1.56,0.01,0.36,120.31.61.171,中国,广东, 铁通
2013-02-26 22:39:59.484709,222.50.124.42,NULL,www.cctv.com,网页类,NULL,0.000,100,0,37.36,37.64,37.06,0.16,0.18,0.51,0.00,0.13,122.70.142.160,中国,北京, 铁通
2013-02-26 22:40:00.030319,222.50.124.50,NULL,cntv.cn,广东铁通TOPn网站,NULL,0.000,100,0,32.34,34.20,31.98,0.26,0.20,1.92,0.02,0.32,202.108.8.82,中国,北京, 联通
2013-02-26 22:40:03.961628,222.50.124.22,NULL,www.youku.com,网页类,NULL,0.000,100,0,28.32,29.19,28.04,0.17,0.13,0.93,0.00,0.16,122.72.120.241,中国,中国NDC, 铁通
2013-02-26 22:40:05.472198,222.50.124.70,NULL,17173.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61.135.181.175,中国,北京, 联通
