2013-02-19 08:47:02 |广东铁通2-zhdx01(hxtl)  |电信        |chinaiiss.com                 |118.565             |8730.499            |133.6621094         |100.0               |100.0               |121.10.117.198      |广东        |电信        
2013-02-19 08:46:50 |广东铁通1-gzlt01(gzhy)  |联通        |56.com                        |351.328             |13575.091           |104.7412109         |100.0               |100.0               |112.90.57.7         |广东        |联通        
2013-02-19 08:46:49 |广东铁通2-zsdx02(ncda)  |电信        |微博                            |107.555             |872.567             |170.5634766         |100.0               |100.0               |180.149.134.17      |北京        |电信        
2013-02-19 08:46:14 |广东铁通4-qylt01(xhht)  |联通        |黑龙江联通                         |138.446             |138.446             |5.6875              |100.0               |100.0               |221.212.213.106     |黑龙江       |联通        
2013-02-19 08:46:00 |广东铁通2-zhdx01(hxtl)  |电信        |irs01.com                     |84.895              |84.895              |7.94921875          |100.0               |100.0               |180.169.20.76       |上海        |电信        
2013-02-19 08:45:47 |广东铁通1-zsdx01(ncda)  |电信        |微博                            |97.011              |816.07              |185.9648438         |100.0               |100.0               |180.149.134.17      |北京        |电信        
2013-02-19 08:45:29 |广东铁通1-fsrj01(dx)    |电信        |pptv.com                      |-                   |-                   |-                   |0.0                 |0.0                 |119.147.174.102     |广东        |电信        
2013-02-19 08:45:24 |广东铁通1-huzlt01(bjdx) |联通        |56.com                        |384.732             |16810.066           |63.70117188         |100.0               |100.0               |112.90.57.7         |广东        |联通        
2013-02-19 08:45:06 |广东铁通1-gzlt01(shrs)  |联通        |sohu.com.cn                   |375.91              |6328.875            |94.52441406         |98.50746269         |100.0               |61.135.181.175      |北京        |联通        
2013-02-19 08:44:48 |广东铁通1-fsrj01(dx)    |电信        |yngxxx.com                    |-                   |-                   |-                   |0.0                 |0.0                 |113.107.108.37      |广东        |电信        
2013-02-19 08:44:32 |广东铁通1-gzlt01(gzhy)  |联通        |黑龙江联通                         |142.77              |142.77              |5.52734375          |100.0               |100.0               |221.212.213.106     |黑龙江       |联通        
2013-02-19 08:44:23 |广东铁通1-zsdx01(ncda)  |电信        |ad-plus.cn                    |-                   |-                   |-                   |0.0                 |0.0                 |220.181.20.30       |北京        |电信        
2013-02-19 08:44:06 |广东铁通1-huzlt01(bjdx) |联通        |tom.com                       |398.442             |6603.546            |126.2041016         |100.0               |100.0               |202.108.12.62       |北京        |联通        
2013-02-19 08:43:54 |广东铁通4-zhdx(hyhr)    |电信        |和讯网                           |211.17              |7973.798            |153.4550781         |100.0               |100.0               |219.239.236.198     |北京        |电信        
2013-02-19 08:43:54 |广东铁通1-gzlt01(shrs)  |联通        |qiyi.com                      |289.411             |1072.463            |447.2480469         |90.0                |100.0               |202.108.14.16       |北京        |联通        
2013-02-19 08:43:42 |广东铁通1-zsdx01(ncda)  |电信        |imshell.com                   |19.97               |19.97               |99.33398438         |100.0               |100.0               |121.12.172.101      |广东        |电信        
2013-02-19 08:43:32 |广东铁通1-asddx(mzzy)   |电信        |SERVICE.TOOLS.SDO.COM         |-                   |-                   |-                   |0.0                 |0.0                 |122.226.73.176      |浙江        |电信        
2013-02-19 08:43:05 |广东铁通1-fsrj01(dx)    |电信        |sogou.com                     |200.558             |570.588             |118.4042969         |100.0               |100.0               |220.181.124.201     |北京        |电信        
2013-02-19 08:43:05 |广东铁通1-gzlt01(gzhy)  |联通        |poco                          |249.737             |17046.368           |87.87890625         |100.0               |100.0               |123.235.32.73       |山东        |联通        
2013-02-19 08:42:57 |广东铁通2-zhdx01(hxtl)  |电信        |funshion.com                  |590.116             |4753.999            |92.14941406         |100.0               |100.0               |117.34.68.90        |陕西        |电信        
