结果时间,源测试地址,源信息: 分组名,目的测试地址,目的信息: 分组名,路由变化,路由跳数,时延,最大时延,最小时延,STD 时延,抖动,最大抖动,最小抖动,STD 抖动,丢包,发包数,丢包数,结果 IP 地址,结果国家名称,结果省名称,结果归属地,附加项
2013-02-26 22:06:10.748731,222.50.124.14,NULL,www.jiayuan.com,网页类,0,10,25.82,38.95,0.58,15.09,1.47,5.66,0.00,1.75,0.000,30,0,59.151.18.32,中国,北京, 其它运营商,10
2013-02-26 22:06:17.261088,222.50.124.2,NULL,163.com,广东铁通TOPn网站,2,30,5.09,13.73,0.58,6.11,1.23,3.63,0.00,1.69,90.000,90,81,123.58.180.8,中国,浙江, 移动,30
2013-02-26 22:06:18.025631,222.50.124.70,NULL,kugou.com,广东铁通TOPn网站,0,9,9.17,18.29,0.60,5.96,3.57,15.31,0.00,5.03,0.000,27,0,113.106.27.246,中国,广东, 电信,9
2013-02-26 22:06:25.552348,222.50.124.110,NULL,v-56.com,广东铁通TOPn网站,0,30,2.03,11.20,0.59,1.80,0.19,2.84,0.00,0.49,0.000,90,0,59.32.180.16,中国,广东, 电信,30
2013-02-26 22:06:37.013586,222.50.124.50,NULL,wingdns.com,广东铁通TOPn网站,0,30,18.68,42.40,0.56,16.69,1.82,21.60,0.00,5.50,53.333,90,48,122.227.23.130,中国,浙江, 电信,30
2013-02-26 22:06:39.236840,222.50.124.74,NULL,www.sina.com.cn,网页类,6,8,22.10,36.84,0.64,13.95,0.38,1.39,0.00,0.47,0.000,24,0,211.98.132.66,中国,北京, 铁通,8
2013-02-26 22:06:42.770896,222.50.124.110,NULL,weather.com.cn,广东铁通TOPn网站,0,30,2.38,6.26,0.59,2.08,1.06,2.93,0.00,1.26,83.333,90,75,61.4.185.35,中国,NULL, 其它运营商,30
2013-02-26 22:06:44.808282,222.50.124.50,NULL,tianya.cn,广东铁通TOPn网站,0,16,13.20,60.84,0.55,21.72,0.88,2.64,0.00,1.14,62.500,48,30,221.11.172.222,中国,海南, 联通,16
2013-02-26 22:06:45.619254,222.50.124.90,NULL,www.pconline.com.cn,网页类,0,14,18.21,100.42,0.60,36.78,9.68,55.04,0.00,20.29,57.143,42,24,210.21.118.120,中国,广东, 联通,14
2013-02-26 22:06:48.621749,222.50.124.110,NULL,kuaibo.com,广东铁通TOPn网站,0,30,10.35,222.80,0.70,39.63,4.85,95.70,0.00,17.76,0.000,90,0,175.6.0.102,中国,湖南, 电信,30
2013-02-26 22:06:54.220905,222.50.124.62,NULL,www.weibo.com,网页类,0,30,5.00,59.29,0.60,10.58,3.74,67.96,0.00,12.62,0.000,90,0,180.149.134.17,中国,北京, 电信,30
2013-02-26 22:07:00.532924,222.50.124.90,NULL,miercn.com,广东铁通TOPn网站,0,30,3.25,24.48,0.60,4.31,1.63,34.23,0.00,6.20,0.000,90,0,59.57.13.196,中国,福建, 电信,30
2013-02-26 22:07:01.639501,222.50.124.110,NULL,funshion.net,广东铁通TOPn网站,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.000,0,0,198.1.165.85,其它地区,NULL, 其它运营商,0
2013-02-26 22:07:02.158878,222.50.124.30,NULL,http://v.youku.com/v_show/id_XNDI5OTMzODI4.html,视频类,0,5,2.01,6.90,0.55,2.46,0.33,1.09,0.00,0.42,0.000,15,0,211.98.70.195,中国,湖南, 铁通,5
2013-02-26 22:07:05.740225,222.50.124.50,NULL,itc.cn,广东铁通TOPn网站,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.000,0,0,61.32.91.93,韩国,NULL, 电信,0
2013-02-26 22:07:07.687828,222.50.124.26,NULL,sohu.com,广东铁通TOPn网站,2,30,3.83,8.54,0.57,2.90,2.23,5.57,0.00,2.37,83.333,90,75,61.135.181.175,中国,北京, 联通,30
2013-02-26 22:07:08.794579,222.50.124.26,NULL,youku.com,广东铁通TOPn网站,21,22,9.29,43.04,0.91,13.38,3.13,14.81,0.00,4.89,63.636,66,42,220.181.185.141,中国,北京, 电信,22
2013-02-26 22:07:11.064560,222.50.124.70,NULL,acs86.com,广东铁通TOPn网站,0,21,42.43,99.78,0.58,30.24,5.97,48.88,0.00,13.98,6.349,63,4,117.79.81.135,中国,北京, 其它运营商,21
2013-02-26 22:07:14.125360,222.50.124.14,NULL,www.youku.com,网页类,0,7,17.18,30.38,0.61,12.87,0.43,1.34,0.00,0.53,0.000,21,0,122.72.120.241,中国,中国NDC, 铁通,7
2013-02-26 22:07:17.240981,222.50.124.2,NULL,woxihuan.com,广东铁通TOPn网站,0,19,13.19,66.03,0.58,23.76,0.50,1.55,0.00,0.58,68.421,57,39,123.125.160.234,中国,北京, 联通,19
2013-02-26 22:07:18.774615,222.50.124.70,NULL,baidu-1img.cn,广东铁通TOPn网站,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.000,0,0,255.255.255.255,NULL,NULL,NULL,0
